ω [1/fs],ω [ω_0],Re{n(ω)},Im{n(ω)}
2.340753590402937,0.9941344274183952,0.689502759405408,0.6395802313163402
2.3482801292788307,0.9973310011399977,0.6994278345078021,0.6348835779847398
2.3558066681547243,1.0005275748616003,0.7076666410609709,0.6301496691955879
2.363333207030618,1.0037241485832027,0.7160948182572321,0.6268010496298636
2.3708597459065115,1.0069207223048053,0.7254431439623419,0.6226648906362943
2.378386284782405,1.0101172960264078,0.7334798847236585,0.6177630070451935
2.3859128236582987,1.0133138697480102,0.7409480951327221,0.6141632427700937
2.3934393625341928,1.016510443469613,0.7495390598127591,0.6105252943867975
2.4009659014100864,1.0197070171912155,0.7574776542150267,0.6057096666318224
2.4084924402859804,1.0229035909128181,0.7642797849339985,0.6017408064265855
2.416018979161874,1.0261001646344208,0.7719953863312047,0.5984280525782081
